appid,Topic 1,Topic 2,Topic 3,Topic 4,Topic 9,Topic 10,Topic 11,Topic 12,Topic 18,Topic 21,Topic 23,Topic 25,Topic 26,Topic 29,Topic 31,Topic 32,Topic 33,Topic 34,Topic 36,Topic 38,Topic 40,Topic 41,Topic 44,Topic 46,Topic 49,Topic 5,Topic 6,Topic 7,Topic 8,Topic 13,Topic 14,Topic 15,Topic 16,Topic 17,Topic 19,Topic 20,Topic 22,Topic 24,Topic 27,Topic 28,Topic 30,Topic 35,Topic 37,Topic 39,Topic 42,Topic 43,Topic 45,Topic 47,Topic 48,Topic 50,award,area,ownership,scale
201992003,0.105990783,0.002304147,0.004608295,0.004608295,0.002304147,0.002304147,0.002304147,0.002304147,0.002304147,0.00921659,0.006912442,0.002304147,0.002304147,0.025345622,0.592165899,0.002304147,0.004608295,0.002304147,0.006912442,0.002304147,0.00921659,0.00921659,0.002304147,0.011520737,0.006912442,0.004608295,0.048387097,0.002304147,0.002304147,0.002304147,0.002304147,0.01843318,0.004608295,0.002304147,0.002304147,0.004608295,0.004608295,0.004608295,0.004608295,0.004608295,0.002304147,0.002304147,0.002304147,0.002304147,0.002304147,0.002304147,0.002304147,0.004608295,0.036866359,0.004608295,0,2,2,1
201992004,0.002816901,0.005633803,0.011267606,0.002816901,0.002816901,0.008450704,0.002816901,0.002816901,0.008450704,0.008450704,0.002816901,0.002816901,0.005633803,0.002816901,0.05915493,0.002816901,0.002816901,0.002816901,0.002816901,0.002816901,0.014084507,0.002816901,0.005633803,0.002816901,0.002816901,0.002816901,0.095774648,0.050704225,0.005633803,0.002816901,0.016901408,0.014084507,0.005633803,0.016901408,0.461971831,0.002816901,0.002816901,0.002816901,0.008450704,0.005633803,0.005633803,0.008450704,0.005633803,0.016901408,0.002816901,0.036619718,0.002816901,0.005633803,0.042253521,0.005633803,0,6,2,1
201992005,0.001492537,0.002985075,0.002985075,0.001492537,0.002985075,0.017910448,0.001492537,0.002985075,0.001492537,0.002985075,0.001492537,0.002985075,0.001492537,0.001492537,0.188059701,0.001492537,0.020895522,0.001492537,0.001492537,0.001492537,0.002985075,0.002985075,0.001492537,0.002985075,0.002985075,0.001492537,0.105970149,0.008955224,0.013432836,0.001492537,0.004477612,0.462686567,0.005970149,0.005970149,0.004477612,0.001492537,0.001492537,0.002985075,0.001492537,0.001492537,0.002985075,0.002985075,0.005970149,0.002985075,0.002985075,0.001492537,0.005970149,0.001492537,0.062686567,0.011940299,0,1,6,1
201992006,0.006696429,0.002232143,0.002232143,0.020089286,0.015625,0.004464286,0.002232143,0.002232143,0.004464286,0.002232143,0.002232143,0.002232143,0.020089286,0.006696429,0.011160714,0.002232143,0.002232143,0.002232143,0.008928571,0.004464286,0.002232143,0.037946429,0.002232143,0.033482143,0.002232143,0.004464286,0.247767857,0.011160714,0.004464286,0.004464286,0.002232143,0.200892857,0.002232143,0.002232143,0.008928571,0.002232143,0.102678571,0.013392857,0.002232143,0.011160714,0.002232143,0.002232143,0.013392857,0.058035714,0.002232143,0.064732143,0.004464286,0.006696429,0.011160714,0.011160714,0,7,2,2
201992007,0.002096436,0.004192872,0.004192872,0.004192872,0.002096436,0.253668763,0.002096436,0.002096436,0.002096436,0.01048218,0.002096436,0.002096436,0.002096436,0.002096436,0.004192872,0.004192872,0.002096436,0.002096436,0.004192872,0.002096436,0.004192872,0.002096436,0.002096436,0.002096436,0.002096436,0.01048218,0.264150943,0.002096436,0.012578616,0.004192872,0.004192872,0.002096436,0.002096436,0.247379455,0.004192872,0.002096436,0.002096436,0.016771488,0.025157233,0.002096436,0.002096436,0.050314465,0.002096436,0.002096436,0.004192872,0.002096436,0.002096436,0.002096436,0.002096436,0.002096436,0,4,2,2
201992008,0.127272727,0.001818182,0.001818182,0.005454545,0.001818182,0.001818182,0.001818182,0.003636364,0.003636364,0.001818182,0.009090909,0.001818182,0.001818182,0.003636364,0.001818182,0.003636364,0.001818182,0.001818182,0.003636364,0.001818182,0.003636364,0.003636364,0.001818182,0.001818182,0.003636364,0.001818182,0.001818182,0.661818182,0.005454545,0.009090909,0.029090909,0.007272727,0.001818182,0.007272727,0.001818182,0.001818182,0.001818182,0.001818182,0.02,0.005454545,0.001818182,0.02,0.001818182,0.005454545,0.001818182,0.001818182,0.007272727,0.001818182,0.001818182,0.001818182,0,2,2,1
201992009,0.002777778,0.002777778,0.002777778,0.008333333,0.005555556,0.008333333,0.002777778,0.002777778,0.002777778,0.005555556,0.013888889,0.002777778,0.002777778,0.019444444,0.002777778,0.005555556,0.005555556,0.005555556,0.005555556,0.005555556,0.005555556,0.002777778,0.002777778,0.002777778,0.008333333,0.005555556,0.030555556,0.580555556,0.008333333,0.011111111,0.002777778,0.002777778,0.002777778,0.013888889,0.011111111,0.002777778,0.002777778,0.025,0.011111111,0.002777778,0.008333333,0.011111111,0.025,0.008333333,0.063888889,0.002777778,0.013888889,0.005555556,0.008333333,0.002777778,0,4,2,2
201992010,0.00255102,0.00255102,0.00255102,0.00255102,0.00255102,0.007653061,0.00255102,0.00255102,0.00255102,0.00255102,0.005102041,0.00255102,0.00255102,0.00255102,0.00255102,0.012755102,0.00255102,0.00255102,0.00255102,0.00255102,0.00255102,0.00255102,0.012755102,0.00255102,0.00255102,0.00255102,0.007653061,0.00255102,0.00255102,0.00255102,0.00255102,0.012755102,0.00255102,0.022959184,0.770408163,0.00255102,0.00255102,0.012755102,0.010204082,0.00255102,0.00255102,0.005102041,0.005102041,0.005102041,0.00255102,0.007653061,0.007653061,0.007653061,0.00255102,0.00255102,0,3,2,1
201992011,0.001412429,0.002824859,0.001412429,0.008474576,0.001412429,0.019774011,0.001412429,0.001412429,0.001412429,0.004237288,0.725988701,0.002824859,0.001412429,0.004237288,0.002824859,0.026836158,0.008474576,0.001412429,0.001412429,0.001412429,0.002824859,0.004237288,0.001412429,0.011299435,0.002824859,0.001412429,0.019774011,0.012711864,0.002824859,0.001412429,0.001412429,0.002824859,0.056497175,0.002824859,0.001412429,0.002824859,0.002824859,0.001412429,0.009887006,0.008474576,0.001412429,0.001412429,0.002824859,0.004237288,0.002824859,0.002824859,0.005649718,0.001412429,0.004237288,0.001412429,0,1,2,1
201992012,0.002222222,0.003333333,0.001111111,0.026666667,0.002222222,0.001111111,0.002222222,0.001111111,0.002222222,0.007777778,0.002222222,0.002222222,0.003333333,0.002222222,0.001111111,0.802222222,0.004444444,0.001111111,0.001111111,0.002222222,0.001111111,0.004444444,0.001111111,0.001111111,0.001111111,0.001111111,0.011111111,0.003333333,0.001111111,0.014444444,0.002222222,0.002222222,0.03,0.002222222,0.008888889,0.003333333,0.001111111,0.002222222,0.006666667,0.005555556,0.002222222,0.001111111,0.002222222,0.001111111,0.001111111,0.001111111,0.001111111,0.002222222,0.006666667,0.004444444,0,3,2,1
